favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1250,Twitter Web Client,Order signed copy of CRIPPLED AMERICA &amp; submit a question for my live streaming book signing on 12/3 at 7:30 pm.   https://t.co/TICkBt5xnH,,False,Wed Dec 02 13:39:09 +0000 2015,587,672047352174219264
104371,Twitter for iPhone,"There is a Revolution going on in California. Soooo many Sanctuary areas want OUT of this ridiculous, crime infeste… https://t.co/hNQmJXQ0Zz",,False,Wed Apr 18 09:59:07 +0000 2018,25052,986544648477868032
2138,Twitter Web Client,Another good poll result in the great state of SC. Trump at 30%. Carson at 15% and Bush at 9%.  http://t.co/FjQfdCrfdT,,False,Tue Aug 25 13:52:29 +0000 2015,1349,636174308264550400
94013,Twitter for iPhone,"Guatemala, which has been forming Caravans and sending large numbers of people, some with criminal records, to the… https://t.co/bZp2YfXktE",,False,Tue Jul 23 12:23:58 +0000 2019,18597,1153641906699681795
45749,Twitter for iPhone,#DrainTheSwamp #PhoenixRally https://t.co/o7S6xoCBiC,,False,Wed Aug 23 06:00:39 +0000 2017,9533,900236323893673984
87189,Twitter for iPhone,"Slippery James Comey, the worst FBI Director in history, was not fired because of the phony Russia investigation wh… https://t.co/iJO4tejdw6",,False,Wed Apr 18 12:05:42 +0000 2018,19536,986576502358671361
83311,Twitter for iPhone,"What many people don’t understand, or don’t want to understand, is that Wayne, Chris and the folks who work so hard… https://t.co/4I87uxDsqD",,False,Thu Feb 22 14:31:35 +0000 2018,19365,966681883206668289
60483,Twitter for iPhone,....with a foreign leader. Was this person officially asked to listen to the conversation or was he or she secretly… https://t.co/Vqst8NUgMO,realDonaldTrump,False,Sat Sep 21 21:47:50 +0000 2019,14055,1175527079544332288
2446,Twitter for Android,"""@whispers34: Nevada Poll: Donald Trump 33%, Ted Cruz 20%, Marco Rubio 11%... https://t.co/Hniy4iAqNG via @thelastrefuge2""  Great news!",,False,Thu Dec 31 11:01:18 +0000 2015,906,682516874748375040
3614,Twitter for Android,There is no way that Carly  Fiorina can become the Republican Nominee or win against the Dems. Boxer killed her for Senate in California!,,False,Mon Sep 21 00:30:07 +0000 2015,2159,645756861224980480
1454,Twitter for Android,"""@MiriamRoseMc:  #TRUMp2016 would be the best for the country, jobs, trade and taxes - all others are status quo #MakeAmericaGreatAgain""",,False,Tue Sep 22 12:14:01 +0000 2015,758,646296388209405952
13127,Twitter for Android,"Hillary Clinton has been working on solving the terrorism problem for years. TIME FOR A CHANGE, I WILL SOLVE - AND FAST!",,False,Thu Mar 24 14:46:29 +0000 2016,5196,713014127061544961
79505,Twitter for iPhone,"If Republicans don't Repeal and Replace the disastrous ObamaCare, the repercussions will be far greater than any of them understand!",,False,Mon Jul 24 00:01:47 +0000 2017,18966,889274373689028609
41985,Twitter for iPhone,"Everyone in the path of #HurricaneLane please prepare yourselves, heed the advice of State and local officials, and… https://t.co/fAPukpQIIv",,False,Wed Aug 22 15:05:30 +0000 2018,10008,1032282621290704897
4382,Twitter for Android,Do you believe this - Iran wants to trade our 3 prisoners (not 4) for 19 prisoners held by the U.S. Should have been let go with last deal!,,False,Mon Sep 28 23:53:17 +0000 2015,2887,648646692649193473
11151,Twitter for iPhone,"Join me LIVE on my Facebook page in St. Augustine, Florida! Lets #DrainTheSwamp &amp; MAKE AMERICA GREAT AGAIN!… https://t.co/mPzVrcaR9L",,False,Mon Oct 24 19:01:18 +0000 2016,4711,790629257546379264
25912,Twitter for iPhone,My prayers are with the victims and hostages in the horrible Paris attacks. May God be with you all.,,False,Fri Nov 13 23:52:06 +0000 2015,11314,665316238806007809
29594,Twitter for Android,Did Crooked Hillary help disgusting (check out sex tape and past) Alicia M become a U.S. citizen so she could use her in the debate?,,False,Fri Sep 30 09:30:11 +0000 2016,15239,781788223055994880
12506,Twitter for iPhone,Congratulations to @CNN for having the wisdom to pick TRUMP! #MakeAmericaGreatAgain #Trump2016 https://t.co/Up8DhQulZ4,,False,Wed Mar 30 21:17:43 +0000 2016,4287,715286909824663552
55,Twitter for Android,"""@finndango: @ConcernedChick @Kateplusmy8  @KenyaMoore And now trying to rewrite herself as ""honest person"" who refused to do drama. Ha!""",,False,Sat Jan 31 23:48:23 +0000 2015,36,561672370906484737
41452,Twitter for Android,"Hillary and the Dems loved and praised FBI Director Comey just a few days ago. Original evidence was overwhelming, should not have delayed!",,False,Sun Oct 30 14:04:06 +0000 2016,16588,792728791743291392
88193,Twitter for iPhone,I certainly hope the Democrats do not force Nancy P out. That would be very bad for the Republican Party - and please let Cryin' Chuck stay!,,False,Thu Jun 22 14:15:48 +0000 2017,22360,877892883352702976
31,Twitter for Android,"""@belllabooo13: @realDonaldTrump One of the Best speeches I have ever heard and it was clearly heartfelt!!""  Thank you.",,False,Mon May 11 11:53:00 +0000 2015,15,597731127890173952
27574,Twitter for Android,I have been hitting Obama and Crooked Hillary hard on not using the term Radical Islamic Terror. Hillary just broke-said she would now use!,,False,Mon Jun 13 14:59:25 +0000 2016,8134,742370798850199552
71,Twitter for Android,"""@Tamster613: Who is watching @ApprenticeNBC with me tonight? http://t.co/HmHM7EEdtg #CelebApprentice @realDonaldTrump""",,False,Tue Jan 06 01:10:35 +0000 2015,21,552270973287018497
10074,Twitter for iPhone,Crooked Hillary Clinton- discussing the #SecondAmendment at a private event. #2A cc: @NRA https://t.co/vV31Pbpkmn,,False,Fri May 20 15:36:44 +0000 2016,5602,733682878278696960
1939,Twitter for Android,"""@beingmesuzieeJ: @realDonaldTrump... You ROCKED IT AGAIN IN OHIO!!!! Come to Nebraska.. Please!! Trump 2016!!"" Thanks and I will!",,False,Tue Nov 24 03:28:24 +0000 2015,718,668994549583319041
152122,Twitter for iPhone,I want to thank all Republicans for the work you have done in dealing with the Radical Left on Border Security. Not… https://t.co/BDiGlzkvAg,,False,Wed Feb 13 03:23:41 +0000 2019,28259,1095523879689293825
52214,Twitter Web Client,The United States has been reminded time and again in recent years that economic security is not merely RELATED to… https://t.co/62WsIAen7F,,False,Fri Nov 10 10:43:48 +0000 2017,11799,928936220360503296
553,Twitter for Android,"""@megliq: Ive been saying ""Donald trump for preZ"" since 2nd grade.I AM YOUR BIGGEST FAN LOOK I MET U @realDonaldTrump http://t.co/LrJujtXbFJ",,False,Fri Jun 19 01:09:26 +0000 2015,199,611702296200744960
938,Twitter for Android,"Just out, the new nationwide @FoxNews poll has me alone in 2nd place, closely behind Jeb Bush-but Bush will NEVER Make America Great Again!",,False,Thu Jun 25 00:48:24 +0000 2015,494,613871326793728000
1693,Twitter for Android,"""@BOSSYtxmar55: #Trump WILL WIN! He's counting on ALL supporters TO VOTE Then ""WE"" CELEBRATE WITH TAILGATE STYLE PARTIES! #TeamTrump",,False,Wed Dec 02 23:47:44 +0000 2015,687,672200505414782977
39119,Twitter for Android,"I wish everyone, including the haters and losers, a very happy Easter!",,False,Sun Apr 05 09:24:13 +0000 2015,36012,584647721883148288
588,Twitter Web Client,"You have to learn the rules of the game. And then you have to play better than anyone else.
 -- Albert Einstein",,False,Fri Jan 23 18:21:41 +0000 2015,538,558691050714574848
17417,Twitter for iPhone,"Thank you Council Bluffs, Iowa! Will be back soon. Remember- everything you need to know about Hillary -- just… https://t.co/45kIHxdX83",,False,Wed Sep 28 22:54:59 +0000 2016,7532,781265981675036672
120752,Twitter for iPhone,Veterans on President Trump’s handling of Border Security - 62% Approval Rating. On being a strong leader - 59%.  AP Poll. Thank you!,,False,Sun Dec 30 15:28:35 +0000 2018,23910,1079398853684707328
47391,Twitter for iPhone,"An honor to welcome the Taoiseach of Ireland, @EndaKennyTD to the @WhiteHouse today with @VP Pence. 🇺🇸🇮🇪 https://t.co/J3iTl2iSiQ",,False,Thu Mar 16 20:09:38 +0000 2017,9335,842467917639913472
27462,Twitter for Android,"Crooked Hillary Clinton made up facts about me, and ""forgot"" to mention the many problems of our country, in her very average scream!",,False,Fri Jul 29 12:51:13 +0000 2016,7609,759008377577967616
11303,Twitter for Android,"""@TrumpNewMedia:  Get out &amp; #VoteTrump if you don't #VoteTrump NOTHING will change it's that simple! #VoteTrump https://t.co/0QUSXERSql""",,False,Sat Feb 20 14:02:59 +0000 2016,4849,701044380476375040
1489,Twitter for Android,"""@thumpmomma: I likewise saw militant Muslims burning our flag and burning George Bush photos and figures, right after 9/11! Not#here!""",,False,Wed Dec 02 22:36:13 +0000 2015,626,672182509111767041
2673,Twitter Web Client,"Interesting that @Macys criticized me but just paid $650,000 in fines for racial profiling. Are they racists?",,False,Wed Jul 01 21:10:58 +0000 2015,2352,616353325336928256
10163,Twitter for iPhone,Iran humiliated the United States with the capture of our 10 sailors. Horrible pictures &amp; images. We are weak. I will NOT forget!,,False,Thu Jan 14 05:45:41 +0000 2016,4511,687510877847851008
20,Twitter Web Client,Video: Trump Golf Links at Ferry Point @TrumpFerryPoint  https://t.co/KWu2BtJ8WL,,False,Fri Jun 12 15:05:15 +0000 2015,14,609375920818929664
2006,Twitter for Android,"""@yayala19:  @marcorubio WHAT THE LOBBYISTS, THE MEDIA AND CAREER POLITICIANS WILL DO NEXT TO TRY TO STOP TRUMP? SILENT MAJORITY IS BACK""",,False,Fri Sep 25 03:48:23 +0000 2015,1198,647256305225342976
2364,Twitter for iPhone,"Thank you, @TheFix- Chris Cillizza. It is a true person of character that can change his opinion &amp; do what is right. https://t.co/0VxlT9iEbr",,False,Sat Jan 09 16:05:17 +0000 2016,905,685854865998884864
76322,Twitter for iPhone,Russian officials must be laughing at the U.S. &amp; how a lame excuse for why the Dems lost the election has taken over the Fake News.,,False,Tue May 30 11:04:48 +0000 2017,18650,869509894688387072
16,Twitter for Android,"""@jenlynette: @realDonaldTrump @lordmackie1 great show this season #CelebrityApprentice""",,False,Fri Jan 09 04:54:07 +0000 2015,9,553414390352187392
1282,Twitter for Android,"""@mimi_saulino: @seanhannity @FoxNews Syrian Muslims escorted into U.S. through Mexico. Now arriving to Oklahoma and Kansas! Congress?""",,False,Tue Oct 13 03:30:39 +0000 2015,1064,653774823483703297
8833,Twitter for iPhone,MAKE AMERICA GREAT AGAIN! https://t.co/IVSR0hmh5g,,False,Wed Feb 24 18:31:36 +0000 2016,3635,702561529447763968
56844,Twitter for Android,"Bernie Sanders totally sold out to Crooked Hillary Clinton. All of that work, energy and money, and nothing to show for it! Waste of time.",,False,Tue Jul 26 03:19:38 +0000 2016,18852,757777369272815617
7915,Twitter for iPhone,Thank you @DallasPD!  https://t.co/ORJyN4FsNI,,False,Fri Jun 17 23:24:13 +0000 2016,2278,743947386720923648
17,Twitter for Android,"""@StevenCena35: @realDonaldTrump look awesome in Home Alone 2 lost New York you look great in the movie today in @ABCFamily""",,False,Fri Jan 02 21:47:21 +0000 2015,7,551132665324535808
1570,Twitter for Android,"""@jfgrcar: @realDonaldTrump Gentle Ben is no match for Putin or if the truth be told even for Hilary. USA needs a winner.""",,False,Sun Oct 25 20:41:30 +0000 2015,701,658382900409278464
55841,Twitter for iPhone,"Indiana Rally, and Coach Bobby Knight, were incredible last night. Packed House in Honor of Mike Braun for Senate.… https://t.co/l0SYAR1hIv",,False,Sat Nov 03 11:49:45 +0000 2018,12024,1058687674742120448
76185,Twitter for iPhone,Pittsburgh jobless rate hits lowest point since the early 1970s (maybe even better than that) and Sleepy Joe just h… https://t.co/Ya0N604gTy,,False,Mon Apr 29 23:13:49 +0000 2019,19828,1123002475601170433
5237,Twitter for Android,"""@big_carsonrocks: AMERICA...Stop being duped...WAKE UP Cruz &amp; Rubio establishment phonies. DonaldTrump only truthful &amp; not owned candidate""",,False,Sat Feb 06 19:10:45 +0000 2016,1959,696048400081555456
16735,Twitter for iPhone,"Thank you for your support &amp; 
friendship- Governor @ChrisChristie!
#MakeAmericaGreatAgain #Trump2016 https://t.co/jVI6Q6JH18",,False,Fri Feb 26 21:07:16 +0000 2016,5419,703325481265815553
83394,Twitter for iPhone,The Failing New York Times purposely wrote a false story stating that I am unhappy with my legal team on the Russia… https://t.co/LPBOjSP2LR,,False,Sun Mar 11 13:41:04 +0000 2018,18300,972829763067883523
69667,Twitter for iPhone,It is our sacred duty to support America’s Service Members every single day they wear the uniform – and every day a… https://t.co/W7R4GX3yj7,,False,Thu Nov 15 20:43:42 +0000 2018,16105,1063170699500642304
40850,Twitter for Android,"I will hold a press conference in the near future to discuss the business, Cabinet picks and all other topics of interest. Busy times!",,False,Tue Dec 13 04:41:33 +0000 2016,8977,808532286664822784
86104,Twitter for iPhone,"Working hard on the biggest tax cut in U.S. history. Great support from so many sides. Big winners will be the middle class, business &amp; JOBS",,False,Wed Oct 25 11:35:16 +0000 2017,16144,923150966551171073
115,Twitter Web Client,The right leadership can help economy while creating security around the world. Let’s make America great again! http://t.co/jEgR6jSQ5J,,False,Tue Mar 31 19:15:35 +0000 2015,70,582984602152747008
39596,Twitter for iPhone,https://t.co/3O0ABd3HGt,,False,Sun Nov 03 22:24:47 +0000 2019,13686,1191119056910372864
57937,Twitter for iPhone,Congressman Erik Paulsen of the Great State of Minnesota has done a fantastic job in cutting Taxes and Job Killing… https://t.co/zo2OqMIyNf,,False,Tue Oct 23 04:22:03 +0000 2018,13751,1054588738641178624
439,Twitter for Android,"""@imprimis310: @NBC is the bigot. @realDonaldTrump and @SenTedCruz only speaking the truth about ILLEGAL immigrants""",,False,Mon Jun 29 23:57:45 +0000 2015,222,615670520634327040
59028,Twitter for iPhone,“Consumer confidence pops in August to highest level since October 2000” https://t.co/1Gg5IOtbNa,,False,Tue Aug 28 17:28:28 +0000 2018,14610,1034492929153359872
39426,Twitter for iPhone,“Pledge to America’s Workers” https://t.co/wbGZU6oi9G,,False,Tue Sep 04 20:44:49 +0000 2018,9058,1037079053784821766
11593,Twitter for iPhone,Horrible killing of a 13 year old American girl at her home in Israel by a Palestinian terrorist. We must get tough. https://t.co/zauQ6kb9Hj,,False,Fri Jul 01 13:32:19 +0000 2016,4690,748871858553024512
29873,Twitter for iPhone,"Congrats to @Reince Priebus, a really good and talented man. We’re proud of you Reince! https://t.co/7AsjAMrSnV",,False,Wed Oct 25 17:19:31 +0000 2017,5122,923237600009342978
21,Twitter for Android,"""@KdanielsK: @misstcassidy @AllAboutTheTea_ I definitely think Kenya is smarter than Brandi, but Kenya doesn't play well w/ others.""",,False,Fri Jan 02 21:30:04 +0000 2015,10,551128313281118208
139592,Twitter for iPhone,"54% in Poll! I would be at 75% (with our great economy, maybe the best ever) if not for the Phony Witch Hunt and the Fake News Media!",,False,Fri Jun 28 22:41:17 +0000 2019,27047,1144737559786020864
